"name","year","quarter","growth","dervgrowth"
"Ruby",2022,1,-44349,-26921
"Ruby",2021,4,-17428,-2830
"Ruby",2021,3,-14598,-8770
"Ruby",2021,2,-5828,-11148
"Ruby",2021,1,5320,-2347
"Ruby",2020,4,7667,16886
"Ruby",2020,3,-9219,-11115
"Ruby",2020,2,1896,1895
"Ruby",2020,1,1,-14642
"Ruby",2019,4,14643,17450
"Ruby",2019,3,-2807,-1956
"Ruby",2019,2,-851,-3911
"Ruby",2019,1,3060,2017
"Ruby",2018,4,1043,5524
"Ruby",2018,3,-4481,13858
"Ruby",2018,2,-18339,-10030
"Ruby",2018,1,-8309,-3408
"Ruby",2017,4,-4901,5266
"Ruby",2017,3,-10167,-7668
"Ruby",2017,2,-2499,-12815
"Ruby",2017,1,10316,9278
"Ruby",2016,4,1038,10413
"Ruby",2016,3,-9375,19796
"Ruby",2016,2,-29171,-42022
"Ruby",2016,1,12851,-8169
"Ruby",2015,4,21020,13432
"Ruby",2015,3,7588,3374
"Ruby",2015,2,4214,-13492
"Ruby",2015,1,17706,10651
"Ruby",2014,4,7055,452
"Ruby",2014,3,6603,-738
"Ruby",2014,2,7341,-3113
"Ruby",2014,1,10454,4515
"Ruby",2013,4,5939,2391
"Ruby",2013,3,3548,98
"Ruby",2013,2,3450,-4467
"Ruby",2013,1,7917,3226
"Ruby",2012,4,4691,3863
"Ruby",2012,3,828,22163
"Ruby",2012,2,-21335,-56239
"Ruby",2012,1,34904,32489
"Ruby",2011,4,2415,0
"Ruby",2011,3,0,0
"PHP",2022,1,-37756,-28869
"PHP",2021,4,-8887,-4349
"PHP",2021,3,-4538,-456
"PHP",2021,2,-4082,2771
"PHP",2021,1,-6853,-11979
"PHP",2020,4,5126,11193
"PHP",2020,3,-6067,-10272
"PHP",2020,2,4205,5974
"PHP",2020,1,-1769,-7793
"PHP",2019,4,6024,9810
"PHP",2019,3,-3786,-3977
"PHP",2019,2,191,-979
"PHP",2019,1,1170,-1497
"PHP",2018,4,2667,5640
"PHP",2018,3,-2973,16809
"PHP",2018,2,-19782,1051
"PHP",2018,1,-20833,-18750
"PHP",2017,4,-2083,2501
"PHP",2017,3,-4584,4140
"PHP",2017,2,-8724,-19785
"PHP",2017,1,11061,4369
"PHP",2016,4,6692,17205
"PHP",2016,3,-10513,-7449
"PHP",2016,2,-3064,-13158
"PHP",2016,1,10094,-2727
"PHP",2015,4,12821,5704
"PHP",2015,3,7117,2217
"PHP",2015,2,4900,-13186
"PHP",2015,1,18086,14613
"PHP",2014,4,3473,-2827
"PHP",2014,3,6300,5719
"PHP",2014,2,581,-10315
"PHP",2014,1,10896,4134
"PHP",2013,4,6762,3711
"PHP",2013,3,3051,1157
"PHP",2013,2,1894,-4426
"PHP",2013,1,6320,6252
"PHP",2012,4,68,-2848
"PHP",2012,3,2916,5866
"PHP",2012,2,-2950,-17963
"PHP",2012,1,15013,13236
"PHP",2011,4,1777,0
"PHP",2011,3,0,0
"Python",2022,1,-129361,-93529
"Python",2021,4,-35832,-15352
"Python",2021,3,-20480,-13243
"Python",2021,2,-7237,-3978
"Python",2021,1,-3259,-2189
"Python",2020,4,-1070,17058
"Python",2020,3,-18128,-35617
"Python",2020,2,17489,19248
"Python",2020,1,-1759,-18902
"Python",2019,4,17143,28786
"Python",2019,3,-11643,-14287
"Python",2019,2,2644,-14935
"Python",2019,1,17579,21208
