"submission_date","created_at","date_diff"
"02/28/2020","03/11/2022 01:59:22 PM",-742
"02/29/2020","03/11/2022 01:59:22 PM",-741
"03/01/2020","03/11/2022 01:59:22 PM",-740
"03/02/2020","03/11/2022 01:59:22 PM",-739
"03/03/2020","03/11/2022 01:59:22 PM",-738
"03/04/2020","03/11/2022 01:59:22 PM",-737
"03/05/2020","03/11/2022 01:59:22 PM",-736
"03/06/2020","03/11/2022 01:59:22 PM",-735
"03/07/2020","03/11/2022 01:59:22 PM",-734
"03/08/2020","03/11/2022 01:59:22 PM",-733
"03/09/2020","03/11/2022 01:59:22 PM",-732
"03/10/2020","03/11/2022 01:59:22 PM",-731
"03/11/2020","03/11/2022 01:59:22 PM",-730
"03/12/2020","03/11/2022 01:59:22 PM",-729
"03/13/2020","03/11/2022 01:59:22 PM",-728
"03/14/2020","03/11/2022 01:59:22 PM",-727
"03/15/2020","03/11/2022 01:59:22 PM",-726
"03/16/2020","03/11/2022 01:59:22 PM",-725
"03/17/2020","03/11/2022 01:59:22 PM",-724
"03/18/2020","03/11/2022 01:59:22 PM",-723
"03/19/2020","03/11/2022 01:59:22 PM",-722
"03/20/2020","03/11/2022 01:59:22 PM",-721
"03/21/2020","03/11/2022 01:59:22 PM",-720
"03/22/2020","03/11/2022 01:59:22 PM",-719
"03/23/2020","03/11/2022 01:59:22 PM",-718
"03/24/2020","03/11/2022 01:59:22 PM",-717
"03/25/2020","03/11/2022 01:59:22 PM",-716
"03/26/2020","03/11/2022 01:59:22 PM",-715
"03/27/2020","03/11/2022 01:59:22 PM",-714
"03/28/2020","03/11/2022 01:59:22 PM",-713
"03/29/2020","03/11/2022 01:59:22 PM",-712
"03/30/2020","03/11/2022 01:59:22 PM",-711
"03/31/2020","03/11/2022 01:59:22 PM",-710
"04/01/2020","03/11/2022 01:59:22 PM",-709
"04/02/2020","03/11/2022 01:59:22 PM",-708
"04/03/2020","03/11/2022 01:59:22 PM",-707
"04/04/2020","03/11/2022 01:59:22 PM",-706
"04/05/2020","03/11/2022 01:59:22 PM",-705
"04/06/2020","03/11/2022 01:59:22 PM",-704
"04/07/2020","03/11/2022 01:59:22 PM",-703
"04/08/2020","03/11/2022 01:59:22 PM",-702
"04/09/2020","03/11/2022 01:59:22 PM",-701
"04/10/2020","03/11/2022 01:59:22 PM",-700
"04/11/2020","03/11/2022 01:59:22 PM",-699
"04/12/2020","03/11/2022 01:59:22 PM",-698
"04/13/2020","03/11/2022 01:59:22 PM",-697
"04/14/2020","03/11/2022 01:59:22 PM",-696
"04/15/2020","03/11/2022 01:59:22 PM",-695
"04/16/2020","03/11/2022 01:59:22 PM",-694
"04/17/2020","03/11/2022 01:59:22 PM",-693
"04/18/2020","03/11/2022 01:59:22 PM",-692
"04/19/2020","03/11/2022 01:59:22 PM",-691
"04/20/2020","03/11/2022 01:59:22 PM",-690
"04/21/2020","03/11/2022 01:59:22 PM",-689
"04/22/2020","03/11/2022 01:59:22 PM",-688
"04/23/2020","03/11/2022 03:12:20 PM",-687
"04/23/2020","03/11/2022 01:34:06 PM",-687
"04/23/2020","03/11/2022 01:59:22 PM",-687
"04/23/2020","03/10/2022 02:07:45 PM",-686
"04/24/2020","03/11/2022 01:59:22 PM",-686
"04/24/2020","03/11/2022 01:34:06 PM",-686
"04/24/2020","03/11/2022 03:12:20 PM",-686
"04/25/2020","03/11/2022 03:12:20 PM",-685
"04/23/2020","03/09/2022 01:35:59 PM",-685
"04/25/2020","03/11/2022 01:34:06 PM",-685
"04/24/2020","03/10/2022 02:07:45 PM",-685
"04/25/2020","03/11/2022 01:59:22 PM",-685
"04/23/2020","03/08/2022 01:49:25 PM",-684
"04/26/2020","03/11/2022 01:34:06 PM",-684
"04/23/2020","03/08/2022 01:33:52 PM",-684
"04/25/2020","03/10/2022 02:07:45 PM",-684
"04/26/2020","03/11/2022 03:12:20 PM",-684
"04/24/2020","03/09/2022 01:35:59 PM",-684
"04/26/2020","03/11/2022 01:59:22 PM",-684
"04/23/2020","03/07/2022 05:06:38 PM",-683
"04/23/2020","03/07/2022 05:06:37 PM",-683
"04/26/2020","03/10/2022 02:07:45 PM",-683
"04/27/2020","03/11/2022 03:12:20 PM",-683
"04/23/2020","03/07/2022 05:06:58 PM",-683
"04/27/2020","03/11/2022 01:34:06 PM",-683
"04/23/2020","03/07/2022 05:06:39 PM",-683
"04/23/2020","03/07/2022 05:06:55 PM",-683
"04/23/2020","03/07/2022 05:06:43 PM",-683
